epoch,num_sampled,num_adversaries,sampled_ids,sampled_benign_ids,sampled_malicious_ids,mad_median_norm,mad_mad,mad_k,mad_safety_keep_used,mad_fallback_used,mad_pass_ids,mad_reject_ids,mad_effective_pass_ids,mad_effective_reject_ids,mad_pass_benign_ids,mad_pass_malicious_ids,mad_reject_benign_ids,mad_reject_malicious_ids,cluster_best_k,cluster_best_score,cluster_scores,cluster_selected_cluster,cluster_fallback_used,cluster_pass_ids,cluster_reject_ids,cluster_effective_pass_ids,cluster_effective_reject_ids,cluster_pass_benign_ids,cluster_pass_malicious_ids,cluster_reject_benign_ids,cluster_reject_malicious_ids,final_selected_ids,final_rejected_ids,final_selected_benign_ids,final_selected_malicious_ids,final_rejected_benign_ids,final_rejected_malicious_ids,final_selected_benign_count,final_selected_malicious_count,final_rejected_benign_count,final_rejected_malicious_count
21,10,5,"[2, 99, 66, 96, 13, 63, 5, 68, 94, 29]","[99, 66, 96, 13, 63, 5, 68, 94, 29]",[2],0.8154548926990999,0.10257123982065902,2.0,0,0,"[99, 66, 96, 13, 63, 5, 68, 94, 29]",[2],"[99, 66, 96, 13, 63, 5, 68, 94, 29]",[2],"[99, 66, 96, 13, 63, 5, 68, 94, 29]",[],[],[2],4,0.3897910416126251,"{""0"": 1.8044486045837402, ""1"": 4.5432024002075195, ""2"": -1.0, ""3"": -1.0}",1,0,"[63, 5, 68, 94, 29]","[2, 99, 66, 96, 13]","[63, 5, 68, 94, 29]","[2, 99, 66, 96, 13]","[63, 5, 68, 94, 29]",[],"[99, 66, 96, 13]",[2],"[63, 5, 68, 94, 29]","[2, 99, 66, 96, 13]","[63, 5, 68, 94, 29]",[],"[99, 66, 96, 13]",[2],5,0,4,1
22,10,5,"[1, 45, 9, 98, 99, 38, 83, 86, 24, 34]","[45, 9, 98, 99, 38, 83, 86, 24, 34]",[1],0.6832278557312944,0.14509171765528567,2.0,0,0,"[45, 9, 98, 99, 38, 83, 86, 24, 34]",[1],"[45, 9, 98, 99, 38, 83, 86, 24, 34]",[1],"[45, 9, 98, 99, 38, 83, 86, 24, 34]",[],[],[1],2,0.6868301630020142,"{""0"": 5.631256103515625, ""1"": -1.0}",0,0,"[45, 98, 99, 38, 83, 86, 24, 34]","[1, 9]","[45, 98, 99, 38, 83, 86, 24, 34]","[1, 9]","[45, 98, 99, 38, 83, 86, 24, 34]",[],[9],[1],"[45, 98, 99, 38, 83, 86, 24, 34]","[1, 9]","[45, 98, 99, 38, 83, 86, 24, 34]",[],[9],[1],8,0,1,1
23,10,5,"[2, 83, 82, 79, 81, 91, 53, 52, 90, 32]","[83, 82, 79, 81, 91, 53, 52, 90, 32]",[2],0.8041859215377664,0.22256675583805569,2.0,0,0,"[83, 82, 79, 81, 91, 53, 52, 90, 32]",[2],"[83, 82, 79, 81, 91, 53, 52, 90, 32]",[2],"[83, 82, 79, 81, 91, 53, 52, 90, 32]",[],[],[2],2,0.4961863160133362,"{""0"": 1.1123852729797363, ""1"": 4.7759599685668945}",1,0,"[83, 82, 81, 91, 53, 52, 90]","[2, 79, 32]","[83, 82, 81, 91, 53, 52, 90]","[2, 79, 32]","[83, 82, 81, 91, 53, 52, 90]",[],"[79, 32]",[2],"[83, 82, 81, 91, 53, 52, 90]","[2, 79, 32]","[83, 82, 81, 91, 53, 52, 90]",[],"[79, 32]",[2],7,0,2,1
24,10,5,"[4, 5, 99, 6, 94, 34, 46, 28, 76, 91]","[5, 99, 6, 94, 34, 46, 28, 76, 91]",[4],0.6772716050853347,0.11522571524279368,2.0,0,0,"[5, 99, 6, 94, 34, 28, 76, 91]","[4, 46]","[5, 99, 6, 94, 34, 28, 76, 91]","[4, 46]","[5, 99, 6, 94, 34, 28, 76, 91]",[],[46],[4],2,0.6384085416793823,"{""0"": 4.245887279510498, ""1"": -1.0}",0,0,"[5, 6, 94, 34, 28, 76, 91]","[4, 99, 46]","[5, 6, 94, 34, 28, 76, 91]","[4, 99, 46]","[5, 6, 94, 34, 28, 76, 91]",[],"[99, 46]",[4],"[5, 6, 94, 34, 28, 76, 91]","[4, 99, 46]","[5, 6, 94, 34, 28, 76, 91]",[],"[99, 46]",[4],7,0,2,1
25,10,5,"[4, 2, 35, 90, 93, 71, 98, 70, 95, 54]","[35, 90, 93, 71, 98, 70, 95, 54]","[4, 2]",0.8746626901185494,0.26923988205289995,2.0,0,0,"[35, 90, 93, 71, 98, 70, 95, 54]","[4, 2]","[35, 90, 93, 71, 98, 70, 95, 54]","[4, 2]","[35, 90, 93, 71, 98, 70, 95, 54]",[],[],"[4, 2]",2,0.6278603076934814,"{""0"": 4.0405354499816895, ""1"": -1.0}",0,0,"[35, 90, 93, 71, 98, 70, 95]","[4, 2, 54]","[35, 90, 93, 71, 98, 70, 95]","[4, 2, 54]","[35, 90, 93, 71, 98, 70, 95]",[],[54],"[4, 2]","[35, 90, 93, 71, 98, 70, 95]","[4, 2, 54]","[35, 90, 93, 71, 98, 70, 95]",[],[54],"[4, 2]",7,0,1,2
26,10,5,"[3, 81, 22, 41, 14, 39, 1, 88, 74, 49]","[81, 22, 41, 14, 39, 88, 74, 49]","[3, 1]",0.9251564022506318,0.27961904492058637,2.0,0,0,"[81, 22, 41, 14, 39, 74, 49]","[3, 1, 88]","[81, 22, 41, 14, 39, 74, 49]","[3, 1, 88]","[81, 22, 41, 14, 39, 74, 49]",[],[88],"[3, 1]",2,0.6517508625984192,"{""0"": 5.6347198486328125, ""1"": -1.0}",0,0,"[81, 22, 41, 14, 39, 74]","[3, 1, 88, 49]","[81, 22, 41, 14, 39, 74]","[3, 1, 88, 49]","[81, 22, 41, 14, 39, 74]",[],"[88, 49]","[3, 1]","[81, 22, 41, 14, 39, 74]","[3, 1, 88, 49]","[81, 22, 41, 14, 39, 74]",[],"[88, 49]","[3, 1]",6,0,2,2
27,10,5,"[0, 95, 57, 7, 73, 75, 65, 58, 27, 10]","[95, 57, 7, 73, 75, 65, 58, 27, 10]",[0],0.7949961693441221,0.19070357353970835,2.0,0,0,"[95, 57, 7, 73, 75, 65, 58, 27, 10]",[0],"[95, 57, 7, 73, 75, 65, 58, 27, 10]",[0],"[95, 57, 7, 73, 75, 65, 58, 27, 10]",[],[],[0],2,0.32238706946372986,"{""0"": 5.5056562423706055, ""1"": -1.0}",0,0,"[57, 7, 73, 75, 65, 58, 27, 10]","[0, 95]","[57, 7, 73, 75, 65, 58, 27, 10]","[0, 95]","[57, 7, 73, 75, 65, 58, 27, 10]",[],[95],[0],"[57, 7, 73, 75, 65, 58, 27, 10]","[0, 95]","[57, 7, 73, 75, 65, 58, 27, 10]",[],[95],[0],8,0,1,1
28,10,5,"[3, 1, 76, 65, 15, 51, 53, 69, 72, 14]","[76, 65, 15, 51, 53, 69, 72, 14]","[3, 1]",0.7377857071873368,0.17967346178614868,2.0,0,0,"[76, 65, 15, 51, 53, 69, 72, 14]","[3, 1]","[76, 65, 15, 51, 53, 69, 72, 14]","[3, 1]","[76, 65, 15, 51, 53, 69, 72, 14]",[],[],"[3, 1]",3,0.4730725884437561,"{""0"": 1.785764217376709, ""1"": 1.7924723625183105, ""2"": 3.8345608711242676}",2,0,"[76, 69, 72, 14]","[3, 1, 65, 15, 51, 53]","[76, 69, 72, 14]","[3, 1, 65, 15, 51, 53]","[76, 69, 72, 14]",[],"[65, 15, 51, 53]","[3, 1]","[76, 69, 72, 14]","[3, 1, 65, 15, 51, 53]","[76, 69, 72, 14]",[],"[65, 15, 51, 53]","[3, 1]",4,0,4,2
29,10,5,"[1, 3, 30, 81, 70, 38, 49, 78, 14, 87]","[30, 81, 70, 38, 49, 78, 14, 87]","[1, 3]",0.8953593288612156,0.1884415928568517,2.0,0,0,"[30, 81, 70, 38, 49, 78, 14, 87]","[1, 3]","[30, 81, 70, 38, 49, 78, 14, 87]","[1, 3]","[30, 81, 70, 38, 49, 78, 14, 87]",[],[],"[1, 3]",4,0.5491234660148621,"{""0"": 2.9536948204040527, ""1"": 1.9050416946411133, ""2"": -1.0, ""3"": 1.995213270187378}",0,0,"[81, 49, 14]","[1, 3, 30, 70, 38, 78, 87]","[81, 49, 14]","[1, 3, 30, 70, 38, 78, 87]","[81, 49, 14]",[],"[30, 70, 38, 78, 87]","[1, 3]","[81, 49, 14]","[1, 3, 30, 70, 38, 78, 87]","[81, 49, 14]",[],"[30, 70, 38, 78, 87]","[1, 3]",3,0,5,2
30,10,5,"[1, 71, 13, 47, 7, 49, 33, 42, 34, 53]","[71, 13, 47, 7, 49, 33, 42, 34, 53]",[1],1.0342924447372532,0.26701188439289736,2.0,0,0,"[71, 13, 47, 7, 49, 33, 42, 34, 53]",[1],"[71, 13, 47, 7, 49, 33, 42, 34, 53]",[1],"[71, 13, 47, 7, 49, 33, 42, 34, 53]",[],[],[1],2,0.4200529456138611,"{""0"": 0.7057197690010071, ""1"": -1.0}",0,0,"[71, 13, 7, 49, 33, 42, 34, 53]","[1, 47]","[71, 13, 7, 49, 33, 42, 34, 53]","[1, 47]","[71, 13, 7, 49, 33, 42, 34, 53]",[],[47],[1],"[71, 13, 7, 49, 33, 42, 34, 53]","[1, 47]","[71, 13, 7, 49, 33, 42, 34, 53]",[],[47],[1],8,0,1,1
