epoch,num_sampled,num_adversaries,sampled_ids,sampled_benign_ids,sampled_malicious_ids,mad_median_norm,mad_mad,mad_k,mad_safety_keep_used,mad_fallback_used,mad_pass_ids,mad_reject_ids,mad_effective_pass_ids,mad_effective_reject_ids,mad_pass_benign_ids,mad_pass_malicious_ids,mad_reject_benign_ids,mad_reject_malicious_ids,cluster_best_k,cluster_best_score,cluster_scores,cluster_selected_cluster,cluster_fallback_used,cluster_pass_ids,cluster_reject_ids,cluster_effective_pass_ids,cluster_effective_reject_ids,cluster_pass_benign_ids,cluster_pass_malicious_ids,cluster_reject_benign_ids,cluster_reject_malicious_ids,final_selected_ids,final_rejected_ids,final_selected_benign_ids,final_selected_malicious_ids,final_rejected_benign_ids,final_rejected_malicious_ids,final_selected_benign_count,final_selected_malicious_count,final_rejected_benign_count,final_rejected_malicious_count
21,10,5,"[2, 99, 66, 96, 13, 63, 5, 68, 94, 29]","[99, 66, 96, 13, 63, 5, 68, 94, 29]",[2],0.6652640722442074,0.07780000792663994,2.0,0,0,"[99, 66, 96, 13, 63, 5, 68, 94, 29]",[2],"[99, 66, 96, 13, 63, 5, 68, 94, 29]",[2],"[99, 66, 96, 13, 63, 5, 68, 94, 29]",[],[],[2],2,0.4193166196346283,"{""0"": 3.2699637413024902, ""1"": 4.135583877563477}",1,0,"[96, 63, 5, 94, 29]","[2, 99, 66, 13, 68]","[96, 63, 5, 94, 29]","[2, 99, 66, 13, 68]","[96, 63, 5, 94, 29]",[],"[99, 66, 13, 68]",[2],"[96, 63, 5, 94, 29]","[2, 99, 66, 13, 68]","[96, 63, 5, 94, 29]",[],"[99, 66, 13, 68]",[2],5,0,4,1
22,10,5,"[1, 45, 9, 98, 99, 38, 83, 86, 24, 34]","[45, 9, 98, 99, 38, 83, 86, 24, 34]",[1],0.8674429555417962,0.21082423298012926,2.0,0,0,"[45, 9, 98, 99, 38, 83, 86, 24, 34]",[1],"[45, 9, 98, 99, 38, 83, 86, 24, 34]",[1],"[45, 9, 98, 99, 38, 83, 86, 24, 34]",[],[],[1],2,0.4979650676250458,"{""0"": 5.463101863861084, ""1"": -1.0}",0,0,"[45, 9, 98, 99, 38, 83, 86, 34]","[1, 24]","[45, 9, 98, 99, 38, 83, 86, 34]","[1, 24]","[45, 9, 98, 99, 38, 83, 86, 34]",[],[24],[1],"[45, 9, 98, 99, 38, 83, 86, 34]","[1, 24]","[45, 9, 98, 99, 38, 83, 86, 34]",[],[24],[1],8,0,1,1
23,10,5,"[2, 83, 82, 79, 81, 91, 53, 52, 90, 32]","[83, 82, 79, 81, 91, 53, 52, 90, 32]",[2],0.7422167692192172,0.06589229663682578,2.0,0,0,"[83, 82, 79, 81, 53, 52, 90, 32]","[2, 91]","[83, 82, 79, 81, 53, 52, 90, 32]","[2, 91]","[83, 82, 79, 81, 53, 52, 90, 32]",[],[91],[2],2,0.43637609481811523,"{""0"": 4.843472003936768, ""1"": -1.0}",0,0,"[83, 79, 81, 53, 52, 90, 32]","[2, 82, 91]","[83, 79, 81, 53, 52, 90, 32]","[2, 82, 91]","[83, 79, 81, 53, 52, 90, 32]",[],"[82, 91]",[2],"[83, 79, 81, 53, 52, 90, 32]","[2, 82, 91]","[83, 79, 81, 53, 52, 90, 32]",[],"[82, 91]",[2],7,0,2,1
24,10,5,"[4, 5, 99, 6, 94, 34, 46, 28, 76, 91]","[5, 99, 6, 94, 34, 46, 28, 76, 91]",[4],0.6139875898612285,0.06533443118944199,2.0,0,0,"[5, 99, 6, 94, 34, 28, 76, 91]","[4, 46]","[5, 99, 6, 94, 34, 28, 76, 91]","[4, 46]","[5, 99, 6, 94, 34, 28, 76, 91]",[],[46],[4],2,0.5011477470397949,"{""0"": 4.307687282562256, ""1"": 2.5279619693756104}",0,0,"[99, 6, 94, 34, 76]","[4, 5, 46, 28, 91]","[99, 6, 94, 34, 76]","[4, 5, 46, 28, 91]","[99, 6, 94, 34, 76]",[],"[5, 46, 28, 91]",[4],"[99, 6, 94, 34, 76]","[4, 5, 46, 28, 91]","[99, 6, 94, 34, 76]",[],"[5, 46, 28, 91]",[4],5,0,4,1
25,10,5,"[4, 2, 35, 90, 93, 71, 98, 70, 95, 54]","[35, 90, 93, 71, 98, 70, 95, 54]","[4, 2]",0.8150794041836835,0.22676369929871237,2.0,0,0,"[35, 90, 93, 71, 98, 70, 95, 54]","[4, 2]","[35, 90, 93, 71, 98, 70, 95, 54]","[4, 2]","[35, 90, 93, 71, 98, 70, 95, 54]",[],[],"[4, 2]",2,0.5989474058151245,"{""0"": 5.439760684967041, ""1"": -1.0}",0,0,"[35, 90, 93, 71, 98, 70, 54]","[4, 2, 95]","[35, 90, 93, 71, 98, 70, 54]","[4, 2, 95]","[35, 90, 93, 71, 98, 70, 54]",[],[95],"[4, 2]","[35, 90, 93, 71, 98, 70, 54]","[4, 2, 95]","[35, 90, 93, 71, 98, 70, 54]",[],[95],"[4, 2]",7,0,1,2
26,10,5,"[3, 81, 22, 41, 14, 39, 1, 88, 74, 49]","[81, 22, 41, 14, 39, 88, 74, 49]","[3, 1]",0.8201459520049619,0.1371194699498406,2.0,0,0,"[81, 22, 41, 14, 39, 74, 49]","[3, 1, 88]","[81, 22, 41, 14, 39, 74, 49]","[3, 1, 88]","[81, 22, 41, 14, 39, 74, 49]",[],[88],"[3, 1]",2,0.7196525931358337,"{""0"": 4.6712822914123535, ""1"": 1.9842033386230469}",0,0,"[22, 41, 14, 39, 74]","[3, 81, 1, 88, 49]","[22, 41, 14, 39, 74]","[3, 81, 1, 88, 49]","[22, 41, 14, 39, 74]",[],"[81, 88, 49]","[3, 1]","[22, 41, 14, 39, 74]","[3, 81, 1, 88, 49]","[22, 41, 14, 39, 74]",[],"[81, 88, 49]","[3, 1]",5,0,3,2
27,10,5,"[0, 95, 57, 7, 73, 75, 65, 58, 27, 10]","[95, 57, 7, 73, 75, 65, 58, 27, 10]",[0],0.7103591020383594,0.13948151203789905,2.0,0,0,"[57, 7, 73, 75, 65, 58, 27, 10]","[0, 95]","[57, 7, 73, 75, 65, 58, 27, 10]","[0, 95]","[57, 7, 73, 75, 65, 58, 27, 10]",[],[95],[0],2,0.561958372592926,"{""0"": 2.867345094680786, ""1"": 4.618694305419922}",1,0,"[57, 7, 65, 58, 27]","[0, 95, 73, 75, 10]","[57, 7, 65, 58, 27]","[0, 95, 73, 75, 10]","[57, 7, 65, 58, 27]",[],"[95, 73, 75, 10]",[0],"[57, 7, 65, 58, 27]","[0, 95, 73, 75, 10]","[57, 7, 65, 58, 27]",[],"[95, 73, 75, 10]",[0],5,0,4,1
28,10,5,"[3, 1, 76, 65, 15, 51, 53, 69, 72, 14]","[76, 65, 15, 51, 53, 69, 72, 14]","[3, 1]",0.9090468249701017,0.1984251560870121,2.0,0,0,"[76, 65, 15, 51, 53, 69, 72, 14]","[3, 1]","[76, 65, 15, 51, 53, 69, 72, 14]","[3, 1]","[76, 65, 15, 51, 53, 69, 72, 14]",[],[],"[3, 1]",2,0.5952410101890564,"{""0"": 6.482446670532227, ""1"": -1.0}",0,0,"[76, 65, 15, 51, 53, 72, 14]","[3, 1, 69]","[76, 65, 15, 51, 53, 72, 14]","[3, 1, 69]","[76, 65, 15, 51, 53, 72, 14]",[],[69],"[3, 1]","[76, 65, 15, 51, 53, 72, 14]","[3, 1, 69]","[76, 65, 15, 51, 53, 72, 14]",[],[69],"[3, 1]",7,0,1,2
29,10,5,"[1, 3, 30, 81, 70, 38, 49, 78, 14, 87]","[30, 81, 70, 38, 49, 78, 14, 87]","[1, 3]",0.8272431017261863,0.08631826792797437,2.0,0,0,"[30, 81, 70, 38, 49, 78, 14, 87]","[1, 3]","[30, 81, 70, 38, 49, 78, 14, 87]","[1, 3]","[30, 81, 70, 38, 49, 78, 14, 87]",[],[],"[1, 3]",2,0.5803866386413574,"{""0"": 4.53077507019043, ""1"": 1.92568039894104}",0,0,"[30, 70, 38, 78, 14, 87]","[1, 3, 81, 49]","[30, 70, 38, 78, 14, 87]","[1, 3, 81, 49]","[30, 70, 38, 78, 14, 87]",[],"[81, 49]","[1, 3]","[30, 70, 38, 78, 14, 87]","[1, 3, 81, 49]","[30, 70, 38, 78, 14, 87]",[],"[81, 49]","[1, 3]",6,0,2,2
30,10,5,"[1, 71, 13, 47, 7, 49, 33, 42, 34, 53]","[71, 13, 47, 7, 49, 33, 42, 34, 53]",[1],1.0755407252408862,0.13586135935411459,2.0,0,0,"[71, 13, 47, 7, 49, 33, 42, 34, 53]",[1],"[71, 13, 47, 7, 49, 33, 42, 34, 53]",[1],"[71, 13, 47, 7, 49, 33, 42, 34, 53]",[],[],[1],3,0.5064781904220581,"{""0"": 4.321685314178467, ""1"": -1.0, ""2"": 1.9539225101470947}",0,0,"[7, 49, 33, 42, 34, 53]","[1, 71, 13, 47]","[7, 49, 33, 42, 34, 53]","[1, 71, 13, 47]","[7, 49, 33, 42, 34, 53]",[],"[71, 13, 47]",[1],"[7, 49, 33, 42, 34, 53]","[1, 71, 13, 47]","[7, 49, 33, 42, 34, 53]",[],"[71, 13, 47]",[1],6,0,3,1
