epoch,client_id,role,is_adversary,update_norm,mad_z_score,mad_pass,mad_effective_pass,cluster_label,selected_cluster,cluster_pass,cluster_effective_pass,final_selected,trust_weight,clip_factor,update_norm_before_clip,update_norm_after_clip,feature_norm,feature_0,feature_1,feature_2
5,98,benign,0,0.69107568967351,-0.177009585856045,1,1,0,0,1,1,1,0.0,2.0,0.69107568967351,0.69107568967351,0.634889125598361,-0.5383661985397339,-0.26950544118881226,-0.20152631402015686
5,67,benign,0,0.8965429018093787,0.9624190860198141,1,1,1,0,0,0,0,,,,,0.7561107184407689,-0.1206841915845871,0.5939499139785767,-0.4520644247531891
5,16,benign,0,0.7091388343996129,-0.07683951593970764,1,1,0,0,1,1,1,0.20000000298023224,1.0,0.7091388343996129,0.7091388343996129,0.401132810537574,-0.3196187913417816,-0.11340315639972687,-0.2142220437526703
5,57,benign,0,0.521375235083095,-1.1180919200185504,1,1,0,0,1,1,1,0.20000000298023224,1.0,0.521375235083095,0.521375235083095,0.5861891801746478,-0.5611441135406494,-0.12196755409240723,-0.11772406101226807
5,21,benign,0,0.5115993136200341,-1.1723047800326944,1,1,0,0,1,1,1,0.20000000298023224,1.0,0.5115993136200341,0.5115993136200341,0.4150193835183641,-0.4099363684654236,-0.033115189522504807,-0.05564752221107483
5,26,benign,0,0.8947231887359239,0.9523277764189878,1,1,1,0,0,0,0,,,,,0.9326920616486315,-0.3847256004810333,0.7233616709709167,0.44570010900497437
5,69,benign,0,0.6514650752508833,-0.39667222358101206,1,1,0,0,1,1,1,0.20000000298023224,1.0,0.6514650752508833,0.6514650752508833,0.851305336784674,-0.4583108127117157,-0.294540137052536,0.6541544795036316
6,3,malicious,1,32.12761094953391,185.09383796517236,0,0,-1,0,0,0,0,,,,,5.005306361324912,4.997738838195801,0.1478414088487625,-0.23203705251216888
6,55,benign,0,0.8480900629355681,-0.1757476153780408,1,1,0,0,1,1,1,0.6666622161865234,1.0,0.8480900629355681,0.8480900629355681,0.8381889174486449,-0.7938546538352966,-0.23535943031311035,-0.13023589551448822
6,44,benign,0,0.9453414364732872,0.40027532748590117,1,1,2,0,0,0,0,,,,,1.2830111332080192,0.6348952651023865,-0.5432321429252625,0.9736140966415405
6,86,benign,0,0.8089703136214749,-0.40745512041665977,1,1,0,0,1,1,1,0.0,2.0,0.8089703136214749,0.8089703136214749,0.7469086052466382,-0.6866345405578613,-0.27669620513916016,-0.09922037273645401
6,53,benign,0,0.7379452558253305,-0.8281387706372793,1,1,0,0,1,1,1,0.0,2.0,0.7379452558253305,0.7379452558253305,0.6563416869881535,-0.6241135001182556,-0.1880958378314972,-0.07672486454248428
6,6,benign,0,0.7604406981764167,-0.6948975583774538,1,1,0,0,1,1,1,0.0,2.0,0.7604406981764167,0.7604406981764167,0.802357009792497,-0.7470466494560242,-0.024948887526988983,-0.2916772663593292
6,52,benign,0,0.9881956939238186,0.6541024416225462,1,1,0,0,1,1,1,0.0,2.0,0.9881956939238186,0.9881956939238186,0.6639048944453706,-0.5667296051979065,-0.3458130955696106,-0.0007525910623371601
6,61,benign,0,0.511687652043113,-2.1682696709523093,1,1,0,0,1,1,1,0.0,2.0,0.511687652043113,0.511687652043113,0.8058481479933697,-0.7570862174034119,-0.05453633889555931,-0.2706242501735687
6,62,benign,0,0.9074338693003446,0.17574761537804143,1,1,0,0,1,1,1,0.33333778381347656,1.4999899864196777,0.9074338693003446,0.9074338693003446,0.7378132240981035,-0.7087748646736145,-0.14950446784496307,-0.14019614458084106
6,48,benign,0,1.1119337853081412,1.3870070469844484,1,1,1,0,0,0,0,,,,,1.8498344032933154,-0.7483936548233032,1.6703437566757202,0.2678544223308563
7,2,malicious,1,24.839880184451196,121.01571784476273,0,0,-1,0,0,0,0,,,,,3.1349388326030887,2.524728298187256,-1.8556303977966309,-0.10111543536186218
7,73,benign,0,1.1000308700293784,0.0378131756440825,1,1,0,0,1,1,1,0.20000320672988892,1.4999899864196777,1.1000308700293784,1.1000308700293784,2.246829458752514,-1.4394605159759521,-0.8683683276176453,1.4906818866729736
7,46,benign,0,1.173874254867801,0.41411792185831936,1,1,0,0,1,1,1,0.0,2.0,1.173874254867801,1.173874254867801,0.9614169702472121,-0.29085227847099304,0.16580349206924438,-0.9012417793273926
7,58,benign,0,0.8493749336870912,-1.2395255963903444,1,1,0,0,1,1,1,0.0,2.0,0.8493749336870912,0.8493749336870912,0.6821998265549173,-0.12065021693706512,0.3317650556564331,-0.5837568640708923
7,32,benign,0,1.085190489145853,-0.037813175644081376,1,1,0,0,1,1,1,0.0,2.0,1.085190489145853,1.085190489145853,1.0539512332434733,-0.08096969872713089,0.4784986674785614,-0.935572624206543
7,95,benign,0,1.154266905047932,0.31419917065204434,1,1,1,0,0,0,0,,,,,2.841823326249517,1.7623841762542725,1.882385492324829,1.194398045539856
7,97,benign,0,1.1500576551832,0.29274889849068364,1,1,0,0,1,1,1,0.39999839663505554,1.0,1.1500576551832,1.1500576551832,0.6996170131589523,-0.5791879296302795,0.3004101514816284,-0.2525055408477783
7,42,benign,0,0.7357451112855254,-1.8185814126256423,1,1,0,0,1,1,1,0.0,2.0,0.7357451112855254,0.7357451112855254,0.9043056584026596,-0.7761320471763611,-0.3719419836997986,0.27757328748703003
7,38,benign,0,0.5321583880284924,-2.8560562032986105,0,0,-1,0,0,0,0,,,,,0.5838205909558004,-0.3049502372741699,0.22074370086193085,-0.44623318314552307
7,13,benign,0,0.9091560254295795,-0.9348820781416806,1,1,0,0,1,1,1,0.39999839663505554,1.0,0.9091560254295795,0.9091560254295795,0.7936052439369355,-0.6949079632759094,-0.28366589546203613,0.25777095556259155
8,0,malicious,1,29.410674554943768,66.04957423221347,0,0,-1,0,0,0,0,,,,,9.755142239929771,9.75511646270752,0.013477716594934464,0.017924046143889427
8,41,benign,0,1.3191686887823835,0.7589769842523255,1,1,0,0,1,1,1,0.11111308634281158,1.4999899864196777,1.3191686887823835,1.3191686887823835,0.7317994597977923,-0.6065021753311157,-0.19132155179977417,-0.36205196380615234
8,96,benign,0,1.0908849385861634,0.22839729716372212,1,1,0,0,1,1,1,0.0,2.0,1.0908849385861634,1.0908849385861634,1.3913082468309037,-1.1658961772918701,-0.4292536675930023,-0.6262316107749939
8,97,benign,0,0.7387567610199202,-0.5900230157476746,1,1,0,0,1,1,1,0.0,2.0,0.7387567610199202,0.7387567610199202,1.102649832184984,-1.0530376434326172,-0.2955828011035919,0.13992562890052795
8,82,benign,0,0.7487041688542208,-0.5669031373878292,1,1,0,0,1,1,1,0.2222217321395874,1.0,0.7487041688542208,0.7487041688542208,1.4415416352320614,-1.156787633895874,0.441231906414032,0.7383759617805481
8,86,benign,0,0.8943474804059823,-0.22839729716372212,1,1,0,0,1,1,1,0.0,2.0,0.8943474804059823,0.8943474804059823,1.1321692463027282,-1.0117970705032349,-0.4968702495098114,0.10580097138881683
8,57,benign,0,0.6438974904590015,-0.8104960106428617,1,1,0,0,1,1,1,0.2222217321395874,1.0,0.6438974904590015,0.6438974904590015,1.1561181149882518,-1.1536401510238647,-0.07371699810028076,0.01700887829065323
8,62,benign,0,1.1018581209728648,0.2539012923981522,1,1,0,0,1,1,1,0.2222217321395874,1.0,1.1018581209728648,1.1018581209728648,1.2721084047639313,-1.2113454341888428,0.140372633934021,-0.36221203207969666
8,85,benign,0,0.44095582440954323,-1.2821753376961822,1,1,0,0,1,1,1,0.2222217321395874,1.0,0.44095582440954323,0.44095582440954323,1.4435742461139627,-1.2519607543945312,-0.4974725544452667,0.5186732411384583
8,17,benign,0,1.5374112428702924,1.2662188092085447,1,1,1,0,0,0,0,,,,,1.8093712552031378,-1.144148588180542,1.3891363143920898,-0.18721283972263336
9,2,malicious,1,25.48266158030821,289.57988609834257,0,0,-1,0,0,0,0,,,,,4.419862720874415,3.8975114822387695,2.0840752124786377,0.03494604304432869
9,1,malicious,1,22.815216659156395,258.1901331946523,0,0,-1,0,0,0,0,,,,,4.825555464266129,4.44217586517334,-1.8843727111816406,-0.046889305114746094
9,38,benign,0,0.8162461170185324,-0.6876580495207825,1,1,0,0,1,1,1,0.0,2.0,0.8162461170185324,0.8162461170185324,0.9893193121187498,-0.9686582684516907,-0.12813003361225128,-0.1550372689962387
9,6,benign,0,0.7798993528026295,-1.1153767021305747,1,1,0,0,1,1,1,0.0,2.0,0.7798993528026295,0.7798993528026295,1.163664587803675,-1.0854812860488892,-0.025816669687628746,-0.41854408383369446
9,23,benign,0,0.6877288083755027,-2.2000141361124608,0,0,-1,0,0,0,0,,,,,1.0376878107081278,-0.9968472123146057,0.054925717413425446,0.28297489881515503
9,43,benign,0,0.8451198955983389,-0.3478794217301746,1,1,0,0,1,1,1,0.0,2.0,0.8451198955983389,0.8451198955983389,1.1584222468565435,-1.0978487730026245,-0.1513778269290924,-0.33727574348449707
9,89,benign,0,0.9046370724808882,0.35250222853525665,1,1,0,0,1,1,1,0.0,2.0,0.9046370724808882,0.9046370724808882,1.2448370208137487,-1.0832364559173584,-0.22649741172790527,-0.5700148344039917
9,96,benign,0,0.8184824119313445,-0.6613419504792175,1,1,0,0,1,1,1,0.0,2.0,0.8184824119313445,0.8184824119313445,1.1223575075518466,-1.0920679569244385,0.1616174727678299,-0.2023703157901764
9,69,benign,0,0.9295660904423433,0.6458600061360921,1,1,1,0,0,0,0,,,,,1.6365084731301283,-1.044075846672058,-0.3837834894657135,1.200323224067688
9,84,benign,0,0.9042442346471048,0.3478794217301746,1,1,0,0,1,1,1,1.0,1.0,0.9042442346471048,0.9042442346471048,1.112659332255556,-0.9714699983596802,0.4993603527545929,0.211886927485466
10,4,malicious,1,21.525246561300534,94.19237101278335,0,0,-1,0,0,0,0,,,,,3.6295222624433525,3.37308931350708,1.3010566234588623,0.3208613395690918
10,95,benign,0,1.251777838849579,0.7310943099642793,1,1,1,0,0,0,0,,,,,1.177313499151904,-0.9077165126800537,-0.34722357988357544,0.6644949913024902
10,65,benign,0,0.940892636660766,-0.7020954565409481,1,1,0,0,1,1,1,0.5,1.0,0.940892636660766,0.940892636660766,1.1170237900336275,-1.090936541557312,-0.16908271610736847,-0.1703251153230667
10,71,benign,0,1.1194825474422025,0.12120919331364935,1,1,0,0,1,1,1,0.5,1.0,1.1194825474422025,1.1194825474422025,1.2743698950344133,-1.2551387548446655,0.012690216302871704,-0.22019149363040924
10,9,benign,0,1.1816385819125637,0.4077503084979127,1,1,1,0,0,0,0,,,,,1.3235734644745822,-1.1554979085922241,-0.3412775993347168,0.5479059219360352
10,3,malicious,1,28.652733351267916,127.05029109506,0,0,-1,0,0,0,0,,,,,4.273182727397687,4.096916198730469,-1.1792949438095093,-0.290915310382843
10,81,benign,0,0.9693360434929351,-0.5709705290455197,1,1,0,0,1,1,1,0.0,2.0,0.9693360434929351,0.9693360434929351,1.3406760331047332,-1.0314689874649048,0.1606445014476776,-0.8412355780601501
10,70,benign,0,0.7792172725062925,-1.4474235576239638,1,1,0,0,1,1,1,0.0,2.0,0.7792172725062925,0.7792172725062925,0.9750521252220861,-0.8250596523284912,-0.028258543461561203,-0.5188493728637695
10,41,benign,0,1.066897543765623,-0.12120919331364935,1,1,1,0,0,0,0,,,,,1.085706222915329,-0.6936178803443909,-0.048293448984622955,0.8338584899902344
10,42,benign,0,0.9528645601097379,-0.6469045434590519,1,1,0,0,1,1,1,0.0,2.0,0.9528645601097379,0.9528645601097379,0.8803821140744562,-0.5105708837509155,0.6390397548675537,-0.3256044089794159
11,4,malicious,1,22.679404913574835,73.50127779956006,0,0,-1,0,0,0,0,,,,,11.775811319560365,11.769464492797852,0.38195499777793884,-0.05956648662686348
11,58,benign,0,0.8131596147580682,-0.32216439195813706,1,1,0,0,1,1,1,0.14285714285714285,1.0,0.8131596147580682,0.8131596147580682,2.0213085786066745,-2.006948947906494,0.10310713946819305,-0.21728600561618805
11,20,benign,0,0.8804659767686761,-0.09492888549098967,1,1,1,0,0,0,0,,,,,1.7622993520477817,1.632077693939209,-0.638096272945404,0.18669374287128448
11,28,benign,0,0.9367011842981283,0.09492888549099003,1,1,0,0,1,1,1,0.14285714285714285,1.0,0.9367011842981283,0.9367011842981283,1.8834309763910382,-1.8667848110198975,0.16292649507522583,-0.1894245743751526
11,44,benign,0,1.1635885376504784,0.8609316987449024,1,1,1,0,0,0,0,,,,,1.5733092929622081,1.3898247480392456,-0.7335652112960815,-0.07464168965816498
11,63,benign,0,0.9843110262042573,0.2556662395119211,1,1,0,0,1,1,1,0.14285714285714285,1.0,0.9843110262042573,0.9843110262042573,2.0374660930514468,-1.9877614974975586,-0.41226646304130554,-0.17351850867271423
11,65,benign,0,0.6874596181534365,-0.7465448151173981,1,1,0,0,1,1,1,0.14285714285714285,1.0,0.6874596181534365,0.6874596181534365,2.344346109990446,-2.3298990726470947,0.24932602047920227,-0.07324977964162827
11,38,benign,0,0.7248723319531871,-0.6202343637033567,1,1,0,0,1,1,1,0.14285714285714285,1.0,0.7248723319531871,0.7248723319531871,2.371429267876707,-2.3580806255340576,-0.03197423368692398,-0.24921914935112
11,97,benign,0,0.6927257487180015,-0.7287656362966433,1,1,0,0,1,1,1,0.14285714285714285,1.0,0.6927257487180015,0.6927257487180015,1.9118579093065278,-1.6844474077224731,0.12815244495868683,0.8952175974845886
11,47,benign,0,1.3111167179544732,1.3590070629173316,1,1,0,0,1,1,1,0.14285714285714285,1.0,1.3111167179544732,1.3111167179544732,2.6771874176058086,-2.5574440956115723,0.7904344797134399,-0.04500555619597435
12,3,malicious,1,30.03262850435964,99.11671986012551,0,0,-1,0,0,0,0,,,,,4.2117590912576075,3.8776497840881348,0.6130772233009338,-1.5254124402999878
12,81,benign,0,0.7700454576549934,0.06881177428537615,1,1,0,0,1,1,1,0.0,2.0,0.7700454576549934,0.7700454576549934,1.8442067458832176,-1.724930763244629,-0.6368603706359863,0.14184939861297607
12,20,benign,0,0.8380533006203297,0.2990045282331668,1,1,0,0,1,1,1,0.3333333432674408,1.0,0.8380533006203297,0.8380533006203297,0.45337603967492807,0.27928730845451355,0.1501183658838272,-0.3240569531917572
12,6,benign,0,0.514136804440823,-0.7973871091649598,1,1,0,0,1,1,1,0.0,2.0,0.514136804440823,0.514136804440823,1.6463268220933855,-1.5292878150939941,-0.6067543029785156,-0.05932958424091339
12,68,benign,0,0.5849907446676028,-0.5575608932803026,1,1,0,0,1,1,1,0.0,2.0,0.5849907446676028,0.5849907446676028,1.5872123768690973,-1.5722402334213257,-0.2104090303182602,-0.0550619438290596
12,2,malicious,1,22.66997707166423,74.19563817674289,0,0,-1,0,0,0,0,,,,,5.583269496552931,5.405446529388428,-0.6495177745819092,1.237809658050537
12,37,benign,0,0.5165789570659941,-0.7891209178870583,1,1,0,0,1,1,1,0.0,2.0,0.5165789570659941,0.5165789570659941,1.3881606530690398,-1.2540860176086426,-0.5936347842216492,-0.04308134317398071
12,15,benign,0,0.5843058620229915,-0.5598790821129418,1,1,0,0,1,1,1,0.3333333432674408,1.0,0.5843058620229915,0.5843058620229915,0.9610415445772785,-0.949036717414856,-0.15140368044376373,-0.0026617569383233786
12,11,benign,0,0.7293861383714038,-0.06881177428537577,1,1,0,0,1,1,1,0.3333333432674408,1.0,0.7293861383714038,0.7293861383714038,1.5029953196885177,-1.4281015396118164,-0.4638657867908478,-0.06595040112733841
12,48,benign,0,1.2445988709285831,1.675078821344212,1,1,1,0,0,0,0,,,,,2.864140218923242,-1.1046987771987915,2.5492491722106934,0.6958940029144287
13,0,malicious,1,30.51065345795074,80.67640451312046,0,0,-1,0,0,0,0,,,,,6.610557935207729,6.6103105545043945,-0.0151536138728261,0.055144861340522766
13,60,benign,0,0.9962005210962542,0.3208209215777191,1,1,0,0,1,1,1,0.33332887291908264,1.0,0.9962005210962542,0.9962005210962542,1.6072883016257418,-1.0430262088775635,-1.0023890733718872,-0.7004913687705994
13,95,benign,0,1.1240949101672837,0.6690241660652205,1,1,1,0,0,0,0,,,,,2.7036209122548795,-0.7940906882286072,2.5841662883758545,-0.0327201783657074
13,98,benign,0,0.703580442329596,-0.4758618849850511,1,1,0,0,1,1,1,0.16666777431964874,1.4999899864196777,0.703580442329596,0.703580442329596,0.6489014396312697,-0.6425423622131348,-0.07564213871955872,-0.04990649223327637
13,39,benign,0,0.6286097773083004,-0.6799758339347795,1,1,0,0,1,1,1,0.0,2.0,0.6286097773083004,0.6286097773083004,0.8467742877258794,-0.7126902937889099,0.33131086826324463,-0.3151703476905823
13,75,benign,0,0.6051729635433378,-0.7437845330707281,1,1,0,0,1,1,1,0.16666777431964874,1.4999899864196777,0.6051729635433378,0.6051729635433378,0.5827199714502523,-0.5693625807762146,0.01761210523545742,-0.12279507517814636
13,32,benign,0,0.7605266931468434,-0.3208209215777191,1,1,0,0,1,1,1,0.0,2.0,0.7605266931468434,0.7605266931468434,1.05010560689096,-0.5798503756523132,-0.587894082069397,-0.6487494707107544
13,15,benign,0,0.47579287372197554,-1.0960327229648348,1,1,0,0,1,1,1,0.16666777431964874,1.4999899864196777,0.47579287372197554,0.47579287372197554,0.7645966586335794,-0.5473909378051758,-0.41224825382232666,-0.3391498029232025
